Korean,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
당황,0,0,0,0,0,0,0,0,0,0
줌,0,0,0,0,0,0,0,0,0,0
주판,0,0,0,0,0,0,0,0,0,1
버리다,0,0,0,1,0,1,0,1,0,0
버려진,1,0,0,1,0,1,0,1,0,0
포기,1,0,0,1,0,1,0,1,1,0
감소,0,0,0,0,0,0,0,0,0,0
감소,0,0,0,0,0,0,0,0,0,0
아바,0,0,0,0,0,0,1,0,0,0
대 수도 원장,0,0,0,0,0,0,0,0,0,1
줄여 쓰다,0,0,0,0,0,0,0,0,0,0
약어,0,0,0,0,0,0,0,0,0,0
복부,0,0,0,0,0,0,0,0,0,0
복부,0,0,0,0,0,0,0,0,0,0
유 괴,0,0,0,1,0,1,0,1,1,0
이상한,0,0,0,0,0,1,0,0,0,0
수차,0,0,1,0,0,1,0,0,0,0
중지,0,0,0,0,0,0,0,0,0,0
혐오하다,1,0,1,1,0,1,0,0,0,0
혐오스러운,1,0,1,1,0,1,0,0,0,0
머물다,0,0,0,0,0,0,0,0,0,0
능력,0,0,0,0,0,0,1,0,0,0
비열한,0,0,1,0,0,1,0,0,0,0
제거,0,0,0,0,0,0,0,0,0,0
불타는,0,0,0,0,0,0,0,0,0,0
이상,0,0,1,0,0,1,0,0,0,0
배로,0,0,0,0,0,0,0,0,0,0
거처,0,0,0,0,0,0,0,0,0,0
폐하다,1,0,0,0,0,1,0,0,0,0
폐지,0,0,0,0,0,1,0,0,0,0
가증스러운,0,0,1,1,0,1,0,0,0,0
질색,1,0,1,1,0,1,0,0,0,0
원주민,0,0,0,0,0,0,0,0,0,0
중단하다,0,0,0,0,0,1,0,0,0,0
낙태,0,0,1,1,0,1,0,1,0,0
낙태,0,0,0,0,0,1,0,1,0,0
많이 있다,0,0,0,0,0,0,0,0,0,0
위에서 언급한,0,0,0,0,0,0,1,0,0,0
연마,0,0,0,0,0,1,0,0,0,0
해외에서,0,0,0,0,0,0,0,0,0,0
폐지하다,0,0,0,0,0,1,0,0,0,0
험준한,0,0,0,0,0,0,0,0,1,0
갑자기,0,0,0,0,0,0,0,0,0,0
농양,0,0,0,0,0,1,0,1,0,0
결석,0,0,0,1,0,1,0,1,0,0
결석,0,0,0,0,0,1,0,1,0,0
부재자,0,0,0,0,0,1,0,1,0,0
장기 결석,0,0,0,0,0,1,0,0,0,0
압생트,0,0,0,0,0,0,0,0,0,0
순수한,0,0,0,0,0,0,1,0,0,0
사면,0,0,0,0,1,0,1,0,0,1
흡수,0,0,0,0,0,0,1,0,0,0
흡착제,0,0,0,0,0,0,0,0,0,0
흡수,0,0,0,0,0,0,0,0,0,0
흡수,0,0,0,0,0,0,0,0,0,0
삼가다,0,0,0,0,0,0,0,0,0,0
기권,0,0,0,0,0,0,0,0,0,0
절제,0,0,0,0,0,0,0,0,0,0
요약,0,0,0,0,0,0,0,0,0,0
추출,0,0,0,0,0,0,0,0,0,0
터무니없는,0,0,0,0,0,1,0,0,0,0
부조리,0,0,0,0,0,1,0,0,0,0
풍부,0,1,1,0,1,1,1,0,0,1
풍부한,0,0,0,0,1,0,1,0,0,0
남용,1,0,1,1,0,1,0,1,0,0
인접,0,0,0,0,0,0,0,0,0,0
아비,0,0,0,0,0,0,0,0,0,0
심연,0,0,0,0,0,1,0,1,0,0
심연,0,0,0,1,0,1,0,1,0,0
학생,0,0,0,0,0,0,1,0,0,1
학원,0,0,0,0,0,0,1,0,0,0
동의하다,0,0,0,0,0,0,0,0,0,0
가속하다,0,1,0,0,0,0,0,0,0,0
가속,0,0,0,0,0,0,0,0,0,0
악센트,0,0,0,0,0,0,0,0,0,0
강조하다,0,0,0,0,0,0,0,0,0,0
동의하기,0,0,0,0,0,0,0,0,0,0
수용 가능한,0,0,0,0,0,0,1,0,0,0
수락,0,0,0,0,0,0,1,0,0,0
입장,0,0,0,0,0,0,0,0,0,0
얻기 쉬운,0,0,0,0,0,0,1,0,0,0
가입,0,0,0,0,0,0,0,0,0,0
부속물,0,0,0,0,0,0,0,0,0,0
사고,0,0,0,1,0,1,0,1,1,0
우연한,0,0,0,1,0,1,0,0,1,0
우연히,0,0,0,0,0,0,0,0,1,0
영예,0,1,0,0,1,0,1,0,1,1
수용하다,0,0,0,0,0,0,0,0,0,0
숙소,0,0,0,0,0,0,1,0,0,0
반주,0,1,0,0,1,0,1,0,0,1
동반하다,0,0,0,0,0,0,0,0,0,0
따르는,0,0,0,0,0,0,0,0,0,0
공범자,0,0,0,0,0,0,0,0,0,0
성취하다,0,0,0,0,1,0,1,0,0,0
뛰어난,0,0,0,0,1,0,1,0,0,0
완수,0,0,0,0,0,0,1,0,0,0
일치,0,0,0,0,0,0,1,0,0,1
